Question,Intent,Response
does SEI PROVIDE HOUSING IF I DON’T LIVE IN ANY OF its LOCATIONS?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI provide lodgement during the internship period,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Does SEI provide quarters to stay during the internship period,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
does SEI sponsor housing,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Is housing facility located near the SEI office,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Is housing provided?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Is rent amount included in the internship stipend ,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Where will I live during the internship?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Will housing be provided by SEI during the course of internship,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Will housing be provided during the internship?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
will interns be responsible for expenditure on housing,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
will interns be responsible for finding their own accomodation,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
will SEI bear cost of my accomodation,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
will SEI contribute towards housing rent,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Will SEI cover accomodation expenses,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
will SEI disburse accomodation amount,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
will SEI grant housing allowance,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Will SEI pay for accomodation expenses,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Will SEI provide accomodation during internship period,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
Will SEI subsidize housing?,Housing,"SEI does not subsidize or pay for housing for interns, but we will assist interns in finding their housing and encourage interns from outside the Philadelphia area to live together."
"Can I split my internship in two locations, undertaking part of it in one country and part of it in another?",Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Do you have a virtual video interview?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Does the placement location depend on the interview?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
How am I selected for a certain role in the program?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
How is placement determined?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
How is the location of internship determined?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
How many rounds of interviews are there?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
How many rounds of interviews are there?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Is the interview process same across all majors?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Is the selection process same across all locations?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Is there a skype round for the selection process?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Is there any telephonic round for the interview?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
WHAT IS THE INTERVIEW PROCESS ,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
What is the selection process for the program?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
What's the interview process like?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Will I only have one interview?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
WILL YOU BE VISITING MY COLLEGE CAMPUS?,Interview Process,There are two rounds of interviews for the internship program. During the interview process we determine placement by considering both your interests and our business needs. 
Are there any roles in the program based in New York City?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Are there any roles in the program based in Philadelphia? ,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
can I get international opportunity,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
How can I find a summer internship abroad?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
In which area are students  placed,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Is there an international oportunity?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Is there any role based outside Philadelphia?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
What are the international locations for internship?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
What are the internship locations locally?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
WHERE CAN I DO AN INTERNSHIP?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Where can I do internship?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Where is the internship office located?   ,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
WHERE WILL INTERNSHIP OPPORTUNITIES BE LOCATED?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Where will internship opportunities be located?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Which office will I be placed in for the internship program?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Will I have the opportunity to work in any of SEI's international office locations?,Location,"The SEI Summer Internship Program is located at our Oaks, PA headquarters as well as at our Malvern Office location. "
Good morning!,Greeting,Hello! How may I help you?
Does it take a long time to hear back after my interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
How do I know if I got the interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
how long do I have to wait to find out if I'm selected for an interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
How long does it take to hear back after the interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
How will I know if I will get an internship?,notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
HOW WILL I KNOW IF MY APPLICATION HAS BEEN REVIEWED?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
"Once I've applied to the internship, when will I find out if I’ve received an interview?",Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
What happens after I apply?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
What is the process for acceptance,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
When can I expect to hear about the outcome of my internship application??,notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
When do I hear from the SEI team about my  interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
when do I know if I will get interviewed?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
when do I receive notification that I'll receive an interview,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
When will I find out if I am selected for an interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
when will I get  an email that I'll get interviewed,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
When will I hear back after the interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
When will I know if I’m selected?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
Will I be contacted if I'm selected for an interview?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
Will I hear back immediately following an interview if I'm selected?,Notifications,The SEI College Recruitment Team will notify if you are selected for an interview either at SEI or on your college campus. After each round of interviews you can expect to hear back from our team within 2-3 weeks. 
Are there any coffee shops at SEI?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Are there any food options on campus?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Are there any special services at your headquarters?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Can I buy a snack there or do I have to bring my own?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Can I buy lunch on campus?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Can I drop my children off somewhere at SEI?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Can I get a haircut on your campus?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you have a babysitting services there?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you have a barber who can cut my hair if I need it?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you have a car wash at the headquarters?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you have a day care for my kids?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you have a gym?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you have a weightroom or treadmills on site at SEI?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Do you provide any extra services onsite?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Does SEI have a coffee shop?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Does SEI have amenities onsite?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Does SEI have anything interesting at your headquarters?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Does SEI's campus have a gym on site?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Does your campus have any special amenities?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Does your headquarters have a coffee shop?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there a family center on your site for kids?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there a gym at SEI?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there a place for my children on site?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there a place to grab a bite to eat on your campus?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there a place to work out on your campus?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there anything special about your campus?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Is there somewhere to get food at SEI?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
What are the onsite amenities?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Will I have to bring my own lunch?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
Will you wash my car on site if I need it?,Onsite Amenities,"Our headquarters in Oaks, PA offers a variety of amenities onsite as well as concierge services. We have an on-site family center, gym, cafeteria and coffee shop, as well as the ability to have your dy cleaning done, get a hair cut, have your car washed, and more. "
